EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
true,false,2,256,0.1,Adam,30,18,4,0,5
true,false,16,256,0.1,Rmsprop,30,16,4,0,5
true,false,1,128,0.1,Adam,10,57,4,0,5
true,false,16,128,0.1,Adam,30,33,4,0,5
true,false,1,128,0.1,Rmsprop,30,23,4,0,5
true,false,16,256,0.01,Adam,10,18,4,1,5
true,false,1,128,0.01,Adam,10,19,4,1,5
true,false,2,128,0.01,Adam,10,16,4,1,5
true,false,16,128,0.01,Adam,20,18,4,1,5
true,false,2,128,0.1,Adam,30,23,4,1,5
true,false,2,128,0.1,Rmsprop,30,38,4,1,5
true,false,4,256,0.1,Rmsprop,20,15,4,2,5
true,false,8,128,0.1,Rmsprop,20,23,4,2,5
true,false,16,128,0.1,Rmsprop,20,20,4,2,5
false,false,8,256,0.1,SGD,30,12,4,3,5
true,false,4,128,0.1,Rmsprop,20,23,4,3,5
true,false,8,128,0.1,Rmsprop,30,12,4,3,5
true,false,16,128,0.1,Rmsprop,10,18,4,3,5
true,false,2,256,0.1,Rmsprop,10,16,4,4,5
true,false,2,256,0.1,Rmsprop,20,20,4,4,5
true,false,1,256,0.1,Rmsprop,10,20,4,5,5
false,false,8,128,0.001,Adam,10,16,4,5,5
true,false,8,128,1.0,SGD,10,10,4,6,5
true,false,2,128,1.0,SGD,20,22,4,10,5
false,false,4,256,0.1,SGD,10,12,4,11,5
true,false,4,256,0.1,Adam,10,10,4,12,5
true,false,4,256,1.0,SGD,10,10,4,13,5
false,false,1,128,0.01,Adam,10,11,4,14,5
false,false,16,256,0.01,Rmsprop,30,16,4,17,5
false,false,8,256,0.01,Adam,10,11,4,20,5
false,false,2,128,0.01,Adam,30,11,4,21,5
false,false,8,256,0.01,Rmsprop,10,14,4,24,5
false,false,2,128,0.01,Adam,20,15,4,27,5
false,false,2,256,0.01,Rmsprop,20,23,4,28,5
false,false,8,128,0.01,Rmsprop,10,12,4,28,5
false,false,16,128,0.01,Rmsprop,10,13,4,33,5
true,false,16,128,0.001,Adam,20,15,4,34,5
false,false,4,256,0.01,Rmsprop,30,16,4,37,5
true,false,2,256,0.1,Adam,20,9,4,48,5
true,false,1,128,0.001,Rmsprop,20,10,4,50,5
true,false,1,256,0.001,Rmsprop,10,8,4,64,5
true,false,8,256,0.001,Adam,10,7,4,67,5
true,false,4,256,0.001,Adam,10,8,4,68,5
true,false,2,256,0.001,Rmsprop,10,5,4,71,5
false,false,4,256,0.01,SGD,30,9,4,71,5
false,false,1,128,0.1,Adam,30,10,4,73,5
true,false,4,128,0.001,Adam,10,7,4,76,5
false,false,2,256,0.01,SGD,30,6,4,79,5
true,false,16,128,0.001,Adam,10,6,4,79,5
true,false,2,256,0.01,SGD,30,10,4,81,5
true,false,1,256,0.1,Adam,30,12,5,0,4
true,false,4,128,0.1,Adam,20,31,5,0,4
true,false,8,128,0.1,Adam,20,10,5,0,4
true,false,8,128,0.1,Adam,30,13,5,0,4
true,false,16,128,0.1,Adam,10,20,5,0,4
true,false,16,128,0.1,Adam,20,7,5,0,4
